,1,806085.4044,9151008.583,3192.209582,BUZ
0,2,806186.2042,9151000.781,3179.067621,E-1
1,3,806082.0138,9150826.23,3184.573927,E-2
2,4,806541.1933,9150976.188,3160.405645,HID
3,5,806549.4769,9150967.177,3161.538033,R
4,6,806546.7586,9150957.455,3162.220487,HID
5,7,806532.9822,9150927.787,3165.48921,R
6,8,806550.9939,9150896.076,3176.18949,R
7,9,806501.9775,9150797.476,3201.420673,E-3
8,10,806489.9087,9150780.086,3203.014231,R
9,11,806539.3952,9150707.917,3219.331633,BUZ
10,12,806625.2971,9150957.069,3179.67209,E-4
11,13,806636.5324,9151019.564,3174.777988,R
12,14,806635.7831,9151095.399,3169.942434,R
13,15,806625.1436,9151112.985,3164.513864,HID
14,16,806644.7093,9151131.723,3164.98572,R
15,17,806612.5951,9150581.49,3248.80226,BUZ
16,18,806682.2686,9151169.31,3168.713837,HID
